id,Rid,schcode,female,schcontext,Index1,achieve,math,time,orthtime,orthquadtime,D1,D2
1,1,1,0,-1.0395402541198024,1,600,0,0,-1,1,1,0
1,1,1,0,-1.0395402541198024,2,618,1,0,-1,1,0,1
1,1,1,0,-1.0395402541198024,3,660,0,1,0,-2,1,0
1,1,1,0,-1.0395402541198024,4,668,1,1,0,-2,0,1
1,1,1,0,-1.0395402541198024,5,635,0,2,1,1,1,0
1,1,1,0,-1.0395402541198024,6,655,1,2,1,1,0,1
2,2,1,1,-1.0395402541198024,1,696,0,0,-1,1,1,0
2,2,1,1,-1.0395402541198024,2,671,1,0,-1,1,0,1
2,2,1,1,-1.0395402541198024,3,737,0,1,0,-2,1,0
2,2,1,1,-1.0395402541198024,4,719,1,1,0,-2,0,1
2,2,1,1,-1.0395402541198024,5,731,0,2,1,1,1,0
2,2,1,1,-1.0395402541198024,6,787,1,2,1,1,0,1
3,3,1,1,-1.0395402541198024,1,551,0,0,-1,1,1,0
3,3,1,1,-1.0395402541198024,2,576,1,0,-1,1,0,1
3,3,1,1,-1.0395402541198024,3,618,0,1,0,-2,1,0
3,3,1,1,-1.0395402541198024,4,627,1,1,0,-2,0,1
3,3,1,1,-1.0395402541198024,5,644,0,2,1,1,1,0
3,3,1,1,-1.0395402541198024,6,638,1,2,1,1,0,1
4,4,1,1,-1.0395402541198024,1,635,0,0,-1,1,1,0
4,4,1,1,-1.0395402541198024,2,646,1,0,-1,1,0,1
4,4,1,1,-1.0395402541198024,3,691,0,1,0,-2,1,0
4,4,1,1,-1.0395402541198024,4,692,1,1,0,-2,0,1
4,4,1,1,-1.0395402541198024,5,710,0,2,1,1,1,0
4,4,1,1,-1.0395402541198024,6,720,1,2,1,1,0,1
5,5,1,1,-1.0395402541198024,1,635,0,0,-1,1,1,0
5,5,1,1,-1.0395402541198024,2,679,1,0,-1,1,0,1
5,5,1,1,-1.0395402541198024,3,692,0,1,0,-2,1,0
5,5,1,1,-1.0395402541198024,4,707,1,1,0,-2,0,1
5,5,1,1,-1.0395402541198024,5,680,0,2,1,1,1,0
5,5,1,1,-1.0395402541198024,6,704,1,2,1,1,0,1
6,6,1,0,-1.0395402541198024,1,609,0,0,-1,1,1,0
6,6,1,0,-1.0395402541198024,2,646,1,0,-1,1,0,1
6,6,1,0,-1.0395402541198024,3,664,0,1,0,-2,1,0
6,6,1,0,-1.0395402541198024,4,680,1,1,0,-2,0,1
6,6,1,0,-1.0395402541198024,5,692,0,2,1,1,1,0
6,6,1,0,-1.0395402541198024,6,695,1,2,1,1,0,1
7,7,1,1,-1.0395402541198024,1,635,0,0,-1,1,1,0
7,7,1,1,-1.0395402541198024,2,635,1,0,-1,1,0,1
7,7,1,1,-1.0395402541198024,3,686,0,1,0,-2,1,0
7,7,1,1,-1.0395402541198024,4,683,1,1,0,-2,0,1
7,7,1,1,-1.0395402541198024,5,666,0,2,1,1,1,0
7,7,1,1,-1.0395402541198024,6,669,1,2,1,1,0,1
8,8,1,1,-1.0395402541198024,1,593,0,0,-1,1,1,0
8,8,1,1,-1.0395402541198024,2,610,1,0,-1,1,0,1
8,8,1,1,-1.0395402541198024,3,650,0,1,0,-2,1,0
8,8,1,1,-1.0395402541198024,4,654,1,1,0,-2,0,1
8,8,1,1,-1.0395402541198024,5,676,0,2,1,1,1,0
8,8,1,1,-1.0395402541198024,6,708,1,2,1,1,0,1
9,9,1,1,-1.0395402541198024,1,605,0,0,-1,1,1,0
9,9,1,1,-1.0395402541198024,2,612,1,0,-1,1,0,1
9,9,1,1,-1.0395402541198024,3,664,0,1,0,-2,1,0
9,9,1,1,-1.0395402541198024,4,664,1,1,0,-2,0,1
9,9,1,1,-1.0395402541198024,5,685,0,2,1,1,1,0
9,9,1,1,-1.0395402541198024,6,700,1,2,1,1,0,1
10,10,1,1,-1.0395402541198024,1,602,0,0,-1,1,1,0
10,10,1,1,-1.0395402541198024,2,637,1,0,-1,1,0,1
10,10,1,1,-1.0395402541198024,3,662,0,1,0,-2,1,0
10,10,1,1,-1.0395402541198024,4,674,1,1,0,-2,0,1
10,10,1,1,-1.0395402541198024,5,664,0,2,1,1,1,0
10,10,1,1,-1.0395402541198024,6,686,1,2,1,1,0,1
11,11,1,0,-1.0395402541198024,1,594,0,0,-1,1,1,0
11,11,1,0,-1.0395402541198024,2,654,1,0,-1,1,0,1
11,11,1,0,-1.0395402541198024,3,657,0,1,0,-2,1,0
11,11,1,0,-1.0395402541198024,4,682,1,1,0,-2,0,1
11,11,1,0,-1.0395402541198024,5,655,0,2,1,1,1,0
11,11,1,0,-1.0395402541198024,6,702,1,2,1,1,0,1
12,12,1,0,-1.0395402541198024,1,605,0,0,-1,1,1,0
12,12,1,0,-1.0395402541198024,2,663,1,0,-1,1,0,1
12,12,1,0,-1.0395402541198024,3,667,0,1,0,-2,1,0
12,12,1,0,-1.0395402541198024,4,694,1,1,0,-2,0,1
12,12,1,0,-1.0395402541198024,5,687,0,2,1,1,1,0
12,12,1,0,-1.0395402541198024,6,679,1,2,1,1,0,1
13,13,1,0,-1.0395402541198024,1,652,0,0,-1,1,1,0
13,13,1,0,-1.0395402541198024,2,685,1,0,-1,1,0,1
13,13,1,0,-1.0395402541198024,3,703,0,1,0,-2,1,0
13,13,1,0,-1.0395402541198024,4,717,1,1,0,-2,0,1
13,13,1,0,-1.0395402541198024,5,710,0,2,1,1,1,0
13,13,1,0,-1.0395402541198024,6,698,1,2,1,1,0,1
14,14,1,1,-1.0395402541198024,1,582,0,0,-1,1,1,0
14,14,1,1,-1.0395402541198024,2,601,1,0,-1,1,0,1
14,14,1,1,-1.0395402541198024,3,647,0,1,0,-2,1,0
14,14,1,1,-1.0395402541198024,4,654,1,1,0,-2,0,1
14,14,1,1,-1.0395402541198024,5,664,0,2,1,1,1,0
14,14,1,1,-1.0395402541198024,6,635,1,2,1,1,0,1
15,15,1,0,-1.0395402541198024,1,663,0,0,-1,1,1,0
15,15,1,0,-1.0395402541198024,2,648,1,0,-1,1,0,1
15,15,1,0,-1.0395402541198024,3,706,0,1,0,-2,1,0
15,15,1,0,-1.0395402541198024,4,700,1,1,0,-2,0,1
15,15,1,0,-1.0395402541198024,5,726,0,2,1,1,1,0
15,15,1,0,-1.0395402541198024,6,712,1,2,1,1,0,1
16,16,1,1,-1.0395402541198024,1,666,0,0,-1,1,1,0
16,16,1,1,-1.0395402541198024,2,651,1,0,-1,1,0,1
16,16,1,1,-1.0395402541198024,3,716,0,1,0,-2,1,0
16,16,1,1,-1.0395402541198024,4,706,1,1,0,-2,0,1
16,16,1,1,-1.0395402541198024,5,703,0,2,1,1,1,0
16,16,1,1,-1.0395402541198024,6,717,1,2,1,1,0,1
17,17,1,1,-1.0395402541198024,1,635,0,0,-1,1,1,0
17,17,1,1,-1.0395402541198024,2,627,1,0,-1,1,0,1
17,17,1,1,-1.0395402541198024,3,690,0,1,0,-2,1,0
17,17,1,1,-1.0395402541198024,4,683,1,1,0,-2,0,1
17,17,1,1,-1.0395402541198024,5,701,0,2,1,1,1,0
17,17,1,1,-1.0395402541198024,6,708,1,2,1,1,0,1
18,18,1,1,-1.0395402541198024,1,589.872,0,0,-1,1,1,0
18,18,1,1,-1.0395402541198024,2,595.683,1,0,-1,1,0,1
18,18,1,1,-1.0395402541198024,3,649,0,1,0,-2,1,0
18,18,1,1,-1.0395402541198024,4,648,1,1,0,-2,0,1
18,18,1,1,-1.0395402541198024,5,660,0,2,1,1,1,0
18,18,1,1,-1.0395402541198024,6,702,1,2,1,1,0,1
19,19,1,0,-1.0395402541198024,1,589.872,0,0,-1,1,1,0
19,19,1,0,-1.0395402541198024,2,595.683,1,0,-1,1,0,1
19,19,1,0,-1.0395402541198024,3,647,0,1,0,-2,1,0
19,19,1,0,-1.0395402541198024,4,649,1,1,0,-2,0,1
19,19,1,0,-1.0395402541198024,5,660,0,2,1,1,1,0
19,19,1,0,-1.0395402541198024,6,663,1,2,1,1,0,1
20,20,1,1,-1.0395402541198024,1,589.872,0,0,-1,1,1,0
20,20,1,1,-1.0395402541198024,2,595.683,1,0,-1,1,0,1
20,20,1,1,-1.0395402541198024,3,651,0,1,0,-2,1,0
20,20,1,1,-1.0395402541198024,4,651,1,1,0,-2,0,1
20,20,1,1,-1.0395402541198024,5,630,0,2,1,1,1,0
20,20,1,1,-1.0395402541198024,6,646,1,2,1,1,0,1
21,21,1,0,-1.0395402541198024,1,547,0,0,-1,1,1,0
21,21,1,0,-1.0395402541198024,2,572,1,0,-1,1,0,1
21,21,1,0,-1.0395402541198024,3,606,0,1,0,-2,1,0
21,21,1,0,-1.0395402541198024,4,616,1,1,0,-2,0,1
21,21,1,0,-1.0395402541198024,5,642,0,2,1,1,1,0
21,21,1,0,-1.0395402541198024,6,686,1,2,1,1,0,1
22,22,1,1,-1.0395402541198024,1,589.872,0,0,-1,1,1,0
22,22,1,1,-1.0395402541198024,2,595.683,1,0,-1,1,0,1
22,22,1,1,-1.0395402541198024,3,646,0,1,0,-2,1,0
22,22,1,1,-1.0395402541198024,4,643,1,1,0,-2,0,1
22,22,1,1,-1.0395402541198024,5,726,0,2,1,1,1,0
22,22,1,1,-1.0395402541198024,6,742,1,2,1,1,0,1
23,23,1,1,-1.0395402541198024,1,555,0,0,-1,1,1,0
23,23,1,1,-1.0395402541198024,2,529,1,0,-1,1,0,1
23,23,1,1,-1.0395402541198024,3,611,0,1,0,-2,1,0
23,23,1,1,-1.0395402541198024,4,598,1,1,0,-2,0,1
23,23,1,1,-1.0395402541198024,5,634,0,2,1,1,1,0
23,23,1,1,-1.0395402541198024,6,619,1,2,1,1,0,1
24,24,1,1,-1.0395402541198024,1,617,0,0,-1,1,1,0
24,24,1,1,-1.0395402541198024,2,594,1,0,-1,1,0,1
24,24,1,1,-1.0395402541198024,3,677,0,1,0,-2,1,0
24,24,1,1,-1.0395402541198024,4,665,1,1,0,-2,0,1
24,24,1,1,-1.0395402541198024,5,666,0,2,1,1,1,0
24,24,1,1,-1.0395402541198024,6,670,1,2,1,1,0,1
25,25,1,1,-1.0395402541198024,1,565,0,0,-1,1,1,0
25,25,1,1,-1.0395402541198024,2,600,1,0,-1,1,0,1
25,25,1,1,-1.0395402541198024,3,634,0,1,0,-2,1,0
25,25,1,1,-1.0395402541198024,4,647,1,1,0,-2,0,1
25,25,1,1,-1.0395402541198024,5,664,0,2,1,1,1,0
25,25,1,1,-1.0395402541198024,6,667,1,2,1,1,0,1
26,26,1,0,-1.0395402541198024,1,604,0,0,-1,1,1,0
26,26,1,0,-1.0395402541198024,2,621,1,0,-1,1,0,1
26,26,1,0,-1.0395402541198024,3,661,0,1,0,-2,1,0
26,26,1,0,-1.0395402541198024,4,668,1,1,0,-2,0,1
26,26,1,0,-1.0395402541198024,5,666,0,2,1,1,1,0
26,26,1,0,-1.0395402541198024,6,700,1,2,1,1,0,1
27,27,1,0,-1.0395402541198024,1,585,0,0,-1,1,1,0
27,27,1,0,-1.0395402541198024,2,627,1,0,-1,1,0,1
27,27,1,0,-1.0395402541198024,3,648,0,1,0,-2,1,0
27,27,1,0,-1.0395402541198024,4,666,1,1,0,-2,0,1
27,27,1,0,-1.0395402541198024,5,666,0,2,1,1,1,0
27,27,1,0,-1.0395402541198024,6,695,1,2,1,1,0,1
28,28,1,0,-1.0395402541198024,1,610,0,0,-1,1,1,0
28,28,1,0,-1.0395402541198024,2,637,1,0,-1,1,0,1
28,28,1,0,-1.0395402541198024,3,664,0,1,0,-2,1,0
28,28,1,0,-1.0395402541198024,4,676,1,1,0,-2,0,1
28,28,1,0,-1.0395402541198024,5,664,0,2,1,1,1,0
28,28,1,0,-1.0395402541198024,6,677,1,2,1,1,0,1
29,29,1,1,-1.0395402541198024,1,589.872,0,0,-1,1,1,0
29,29,1,1,-1.0395402541198024,2,595.683,1,0,-1,1,0,1
29,29,1,1,-1.0395402541198024,3,652,0,1,0,-2,1,0
29,29,1,1,-1.0395402541198024,4,653,1,1,0,-2,0,1
29,29,1,1,-1.0395402541198024,5,625,0,2,1,1,1,0
29,29,1,1,-1.0395402541198024,6,633,1,2,1,1,0,1
30,30,1,1,-1.0395402541198024,1,619,0,0,-1,1,1,0
30,30,1,1,-1.0395402541198024,2,627,1,0,-1,1,0,1
30,30,1,1,-1.0395402541198024,3,680,0,1,0,-2,1,0
30,30,1,1,-1.0395402541198024,4,681,1,1,0,-2,0,1
30,30,1,1,-1.0395402541198024,5,703,0,2,1,1,1,0
30,30,1,1,-1.0395402541198024,6,695,1,2,1,1,0,1
31,31,1,1,-1.0395402541198024,1,602,0,0,-1,1,1,0
31,31,1,1,-1.0395402541198024,2,569,1,0,-1,1,0,1
31,31,1,1,-1.0395402541198024,3,654,0,1,0,-2,1,0
31,31,1,1,-1.0395402541198024,4,637,1,1,0,-2,0,1
31,31,1,1,-1.0395402541198024,5,639,0,2,1,1,1,0
31,31,1,1,-1.0395402541198024,6,660,1,2,1,1,0,1
32,1,2,0,1.3097899277240745,1,567,0,0,-1,1,1,0
32,1,2,0,1.3097899277240745,2,592,1,0,-1,1,0,1
32,1,2,0,1.3097899277240745,3,629,0,1,0,-2,1,0
32,1,2,0,1.3097899277240745,4,642,1,1,0,-2,0,1
32,1,2,0,1.3097899277240745,5,622,0,2,1,1,1,0
32,1,2,0,1.3097899277240745,6,631,1,2,1,1,0,1
33,2,2,0,1.3097899277240745,1,524,0,0,-1,1,1,0
33,2,2,0,1.3097899277240745,2,570,1,0,-1,1,0,1
33,2,2,0,1.3097899277240745,3,594,0,1,0,-2,1,0
33,2,2,0,1.3097899277240745,4,615,1,1,0,-2,0,1
33,2,2,0,1.3097899277240745,5,614,0,2,1,1,1,0
33,2,2,0,1.3097899277240745,6,652,1,2,1,1,0,1
34,3,2,1,1.3097899277240745,1,555,0,0,-1,1,1,0
34,3,2,1,1.3097899277240745,2,553,1,0,-1,1,0,1
34,3,2,1,1.3097899277240745,3,615,0,1,0,-2,1,0
34,3,2,1,1.3097899277240745,4,612,1,1,0,-2,0,1
34,3,2,1,1.3097899277240745,5,611,0,2,1,1,1,0
34,3,2,1,1.3097899277240745,6,631,1,2,1,1,0,1
35,4,2,0,1.3097899277240745,1,579,0,0,-1,1,1,0
35,4,2,0,1.3097899277240745,2,627,1,0,-1,1,0,1
35,4,2,0,1.3097899277240745,3,640,0,1,0,-2,1,0
35,4,2,0,1.3097899277240745,4,659,1,1,0,-2,0,1
35,4,2,0,1.3097899277240745,5,629,0,2,1,1,1,0
35,4,2,0,1.3097899277240745,6,695,1,2,1,1,0,1
36,5,2,1,1.3097899277240745,1,584,0,0,-1,1,1,0
36,5,2,1,1.3097899277240745,2,594,1,0,-1,1,0,1
36,5,2,1,1.3097899277240745,3,645,0,1,0,-2,1,0
36,5,2,1,1.3097899277240745,4,648,1,1,0,-2,0,1
36,5,2,1,1.3097899277240745,5,672,0,2,1,1,1,0
36,5,2,1,1.3097899277240745,6,682,1,2,1,1,0,1
37,6,2,1,1.3097899277240745,1,616,0,0,-1,1,1,0
37,6,2,1,1.3097899277240745,2,588,1,0,-1,1,0,1
37,6,2,1,1.3097899277240745,3,663,0,1,0,-2,1,0
37,6,2,1,1.3097899277240745,4,648,1,1,0,-2,0,1
37,6,2,1,1.3097899277240745,5,670,0,2,1,1,1,0
37,6,2,1,1.3097899277240745,6,685,1,2,1,1,0,1
38,7,2,0,1.3097899277240745,1,528,0,0,-1,1,1,0
38,7,2,0,1.3097899277240745,2,543,1,0,-1,1,0,1
38,7,2,0,1.3097899277240745,3,592,0,1,0,-2,1,0
38,7,2,0,1.3097899277240745,4,601,1,1,0,-2,0,1
38,7,2,0,1.3097899277240745,5,605,0,2,1,1,1,0
38,7,2,0,1.3097899277240745,6,602,1,2,1,1,0,1
39,8,2,1,1.3097899277240745,1,554,0,0,-1,1,1,0
39,8,2,1,1.3097899277240745,2,569,1,0,-1,1,0,1
39,8,2,1,1.3097899277240745,3,619,0,1,0,-2,1,0
39,8,2,1,1.3097899277240745,4,623,1,1,0,-2,0,1
39,8,2,1,1.3097899277240745,5,605,0,2,1,1,1,0
39,8,2,1,1.3097899277240745,6,647,1,2,1,1,0,1
40,9,2,0,1.3097899277240745,1,589.872,0,0,-1,1,1,0
40,9,2,0,1.3097899277240745,2,595.683,1,0,-1,1,0,1
40,9,2,0,1.3097899277240745,3,649,0,1,0,-2,1,0
40,9,2,0,1.3097899277240745,4,654,1,1,0,-2,0,1
40,9,2,0,1.3097899277240745,5,622,0,2,1,1,1,0
40,9,2,0,1.3097899277240745,6,607,1,2,1,1,0,1
41,10,2,1,1.3097899277240745,1,589.872,0,0,-1,1,1,0
