id,Rid,schcode,female,schcontext,Index1,achieve,math,time,orthtime,orthquadtime,DV
1,1,1,0,-1.0395402541198024,1,600,0,0,-1,1,Read
1,1,1,0,-1.0395402541198024,2,618,1,0,-1,1,math
1,1,1,0,-1.0395402541198024,3,660,0,1,0,-2,Read
1,1,1,0,-1.0395402541198024,4,668,1,1,0,-2,math
1,1,1,0,-1.0395402541198024,5,635,0,2,1,1,Read
1,1,1,0,-1.0395402541198024,6,655,1,2,1,1,math
2,2,1,1,-1.0395402541198024,1,696,0,0,-1,1,Read
2,2,1,1,-1.0395402541198024,2,671,1,0,-1,1,math
2,2,1,1,-1.0395402541198024,3,737,0,1,0,-2,Read
2,2,1,1,-1.0395402541198024,4,719,1,1,0,-2,math
2,2,1,1,-1.0395402541198024,5,731,0,2,1,1,Read
2,2,1,1,-1.0395402541198024,6,787,1,2,1,1,math
3,3,1,1,-1.0395402541198024,1,551,0,0,-1,1,Read
3,3,1,1,-1.0395402541198024,2,576,1,0,-1,1,math
3,3,1,1,-1.0395402541198024,3,618,0,1,0,-2,Read
3,3,1,1,-1.0395402541198024,4,627,1,1,0,-2,math
3,3,1,1,-1.0395402541198024,5,644,0,2,1,1,Read
3,3,1,1,-1.0395402541198024,6,638,1,2,1,1,math
4,4,1,1,-1.0395402541198024,1,635,0,0,-1,1,Read
4,4,1,1,-1.0395402541198024,2,646,1,0,-1,1,math
4,4,1,1,-1.0395402541198024,3,691,0,1,0,-2,Read
4,4,1,1,-1.0395402541198024,4,692,1,1,0,-2,math
4,4,1,1,-1.0395402541198024,5,710,0,2,1,1,Read
4,4,1,1,-1.0395402541198024,6,720,1,2,1,1,math
5,5,1,1,-1.0395402541198024,1,635,0,0,-1,1,Read
5,5,1,1,-1.0395402541198024,2,679,1,0,-1,1,math
5,5,1,1,-1.0395402541198024,3,692,0,1,0,-2,Read
5,5,1,1,-1.0395402541198024,4,707,1,1,0,-2,math
5,5,1,1,-1.0395402541198024,5,680,0,2,1,1,Read
5,5,1,1,-1.0395402541198024,6,704,1,2,1,1,math
6,6,1,0,-1.0395402541198024,1,609,0,0,-1,1,Read
6,6,1,0,-1.0395402541198024,2,646,1,0,-1,1,math
6,6,1,0,-1.0395402541198024,3,664,0,1,0,-2,Read
6,6,1,0,-1.0395402541198024,4,680,1,1,0,-2,math
6,6,1,0,-1.0395402541198024,5,692,0,2,1,1,Read
6,6,1,0,-1.0395402541198024,6,695,1,2,1,1,math
7,7,1,1,-1.0395402541198024,1,635,0,0,-1,1,Read
7,7,1,1,-1.0395402541198024,2,635,1,0,-1,1,math
7,7,1,1,-1.0395402541198024,3,686,0,1,0,-2,Read
7,7,1,1,-1.0395402541198024,4,683,1,1,0,-2,math
7,7,1,1,-1.0395402541198024,5,666,0,2,1,1,Read
7,7,1,1,-1.0395402541198024,6,669,1,2,1,1,math
8,8,1,1,-1.0395402541198024,1,593,0,0,-1,1,Read
8,8,1,1,-1.0395402541198024,2,610,1,0,-1,1,math
8,8,1,1,-1.0395402541198024,3,650,0,1,0,-2,Read
8,8,1,1,-1.0395402541198024,4,654,1,1,0,-2,math
8,8,1,1,-1.0395402541198024,5,676,0,2,1,1,Read
8,8,1,1,-1.0395402541198024,6,708,1,2,1,1,math
9,9,1,1,-1.0395402541198024,1,605,0,0,-1,1,Read
9,9,1,1,-1.0395402541198024,2,612,1,0,-1,1,math
9,9,1,1,-1.0395402541198024,3,664,0,1,0,-2,Read
9,9,1,1,-1.0395402541198024,4,664,1,1,0,-2,math
9,9,1,1,-1.0395402541198024,5,685,0,2,1,1,Read
9,9,1,1,-1.0395402541198024,6,700,1,2,1,1,math
10,10,1,1,-1.0395402541198024,1,602,0,0,-1,1,Read
10,10,1,1,-1.0395402541198024,2,637,1,0,-1,1,math
10,10,1,1,-1.0395402541198024,3,662,0,1,0,-2,Read
10,10,1,1,-1.0395402541198024,4,674,1,1,0,-2,math
10,10,1,1,-1.0395402541198024,5,664,0,2,1,1,Read
10,10,1,1,-1.0395402541198024,6,686,1,2,1,1,math
11,11,1,0,-1.0395402541198024,1,594,0,0,-1,1,Read
