"item1" "item2" "item3" "item4" "item5" "item6" "item7" "item8" "item9" "item10" "item11" "item12"
"1" 4 4 2 3 3 4 4 4 3 3 4 3
"2" 3 3 3 4 3 3 3 4 3 2 3 3
"3" 4 4 3 3 3 3 3 3 3 3 3 3
"4" 3 3 3 3 2 4 3 3 2 2 3 2
"5" 2 2 2 2 3 3 2 3 3 3 3 3
"6" 3 3 2 3 3 4 3 3 3 4 4 3
"7" 3 3 3 3 3 4 4 4 3 3 3 3
"8" 3 3 4 3 2 2 3 3 3 3 4 3
"9" 2 2 3 3 3 1 2 2 2 2 3 2
"10" 2 2 3 2 2 4 3 3 2 2 3 2
"11" 3 4 3 3 3 4 3 4 4 3 4 3
"12" 3 3 2 3 3 3 3 3 2 2 3 2
"13" 3 3 4 3 4 3 2 2 3 3 3 3
"14" 2 2 2 2 2 3 3 3 3 3 4 3
"15" 3 3 3 3 3 4 4 4 2 2 3 2
"16" 4 4 2 4 3 4 4 4 4 4 3 3
"17" 3 3 2 3 2 3 3 3 2 3 3 3
"18" 2 3 4 2 4 3 3 3 2 2 2 2
"19" 4 4 3 3 2 3 3 3 3 4 3 3
"20" 3 3 3 3 3 4 4 3 3 3 4 3
"21" 1 1 3 1 2 3 3 3 3 2 3 3
"22" 3 3 2 3 3 2 1 2 3 3 2 3
"23" 4 4 4 3 3 3 3 3 3 2 3 2
"24" 4 3 3 4 3 3 4 3 3 3 2 4
"25" 3 3 3 3 3 3 3 3 3 3 3 3
"26" 4 3 4 3 2 3 3 3 2 3 3 3
"27" 3 3 3 4 5 4 3 3 3 4 3 3
"28" 4 4 3 4 2 3 3 3 3 3 3 3
"29" 4 3 3 4 3 2 2 2 3 4 3 4
"30" 3 3 2 2 2 4 3 3 3 3 3 2
"31" 2 2 3 2 3 3 3 3 2 1 3 3
"32" 3 3 4 4 3 3 2 3 4 3 4 3
"33" 3 3 2 2 2 3 3 3 3 2 3 3
"34" 3 3 3 3 4 3 3 3 3 3 4 3
"35" 3 4 2 4 3 3 2 2 4 3 2 3
"36" 3 2 3 2 3 3 3 4 2 2 4 2
"37" 2 3 2 3 3 4 4 3 4 4 3 4
"38" 3 3 4 3 3 3 3 3 3 3 3 3
"39" 3 3 4 2 4 4 4 4 3 3 4 3
"40" 3 3 2 3 4 3 3 3 3 3 3 3
"41" 4 4 3 3 3 3 3 3 3 2 3 2
"42" 3 3 3 3 3 4 4 4 4 4 4 4
"43" 3 3 3 3 3 3 3 3 3 2 4 2
"44" 2 2 3 1 3 4 3 3 3 3 3 2
"45" 2 3 3 3 2 4 3 3 3 3 4 3
"46" 3 3 3 4 3 2 2 2 2 3 2 2
"47" 2 2 4 2 4 3 4 4 3 3 3 3
"48" 4 3 3 4 3 2 2 2 3 3 3 3
"49" 2 3 3 2 3 3 3 2 4 4 3 5
"50" 3 3 3 3 4 3 2 3 2 3 3 2
"51" 3 3 2 3 3 2 2 2 3 3 4 4
"52" 3 3 1 3 3 3 3 3 2 3 3 2
"53" 5 5 4 4 4 3 3 3 3 3 3 3
"54" 3 2 4 3 3 3 3 3 2 2 3 3
"55" 3 3 3 3 4 3 3 3 3 3 3 3
"56" 3 2 2 2 3 4 4 4 3 3 4 3
"57" 3 3 3 3 3 3 2 2 3 3 3 4
"58" 3 3 5 3 3 3 3 3 2 2 2 2
"59" 4 4 3 3 3 3 3 4 3 3 2 3
"60" 3 3 3 4 2 2 2 3 2 2 3 2
"61" 3 3 4 3 2 4 4 4 3 3 2 4
"62" 2 2 4 2 3 3 3 3 3 3 4 3
"63" 3 3 2 3 2 4 3 4 4 4 3 4
"64" 3 3 4 3 4 3 3 3 2 2 2 2
"65" 3 3 3 3 3 3 3 4 4 4 4 3
"66" 4 4 3 4 3 4 4 3 2 3 3 2
"67" 3 2 3 3 3 4 4 3 3 3 3 3
"68" 2 3 4 3 4 3 3 2 3 3 2 2
"69" 3 4 4 3 3 3 4 4 2 2 4 3
"70" 3 3 2 4 3 2 2 2 3 2 4 3
"71" 3 3 4 3 3 3 4 3 3 3 2 3
