"ethnicity" "punish" "repeat." "dispos"
"1" "Hispanic" 28 21 21
"2" "Hispanic" 29 26 24
"3" "Hispanic" 30 20 20
"4" "African-American" 30 21 21
"5" "African-American" 33 22 21
"6" "African-American" 37 22 20
"7" "African-American" 37 22 22
"8" "African-American" 38 22 20
"9" "African-American" 40 24 21
"10" "African-American" 40 24 23
"11" "Hispanic" 40 23 25
"12" "African-American" 41 23 21
"13" "African-American" 43 28 24
"14" "African-American" 44 23 20
"15" "Hispanic" 45 24 24
"16" "Caucasian" 46 27 26
"17" "African-American" 47 24 24
"18" "Caucasian" 47 26 24
"19" "Hispanic" 48 21 21
"20" "Caucasian" 49 24 20
"21" "Hispanic" 49 23 21
"22" "African-American" 49 27 25
"23" "Hispanic" 50 22 21
"24" "Caucasian" 51 24 26
"25" "Hispanic" 52 25 22
"26" "Caucasian" 52 25 22
"27" "Caucasian" 52 26 24
"28" "African-American" 52 25 25
"29" "Caucasian" 52 25 26
"30" "Caucasian" 53 23 20
"31" "Caucasian" 53 23 20
"32" "Caucasian" 53 22 21
"33" "African-American" 53 22 22
"34" "African-American" 54 22 20
"35" "African-American" 54 25 26
"36" "Caucasian" 55 23 20
"37" "Caucasian" 55 25 23
"38" "African-American" 56 26 23
"39" "Hispanic" 56 26 24
"40" "African-American" 56 26 25
"41" "Hispanic" 56 28 26
"42" "Caucasian" 57 29 22
"43" "Caucasian" 57 28 25
"44" "African-American" 58 27 26
"45" "Caucasian" 58 26 28
"46" "African-American" 59 21 22
"47" "Caucasian" 59 25 25
"48" "Hispanic" 60 20 20
"49" "Caucasian" 60 22 25
"50" "Caucasian" 60 23 25
"51" "Caucasian" 60 24 25
"52" "Hispanic" 60 26 25
"53" "Caucasian" 60 27 27
"54" "Hispanic" 61 23 21
"55" "Caucasian" 61 24 21
"56" "Hispanic" 61 26 23
"57" "Hispanic" 61 24 24
"58" "Caucasian" 62 29 28
"59" "Caucasian" 63 24 22
"60" "African-American" 63 24 24
"61" "Caucasian" 63 25 25
"62" "Caucasian" 63 26 26
"63" "African-American" 64 25 24
"64" "Hispanic" 64 26 24
"65" "Caucasian" 64 25 25
"66" "African-American" 65 28 25
"67" "Caucasian" 66 26 25
"68" "Hispanic" 66 27 27
"69" "Caucasian" 67 25 22
"70" "Hispanic" 67 24 23
"71" "Caucasian" 67 26 25
"72" "Hispanic" 68 23 24
"73" "Caucasian" 68 26 25
"74" "Caucasian" 69 22 24
"75" "Caucasian" 69 26 26
"76" "Caucasian" 69 27 28
"77" "Caucasian" 70 26 27
"78" "African-American" 71 26 28
"79" "Caucasian" 71 27 28
"80" "Caucasian" 72 24 22
"81" "Caucasian" 72 22 23
"82" "Caucasian" 72 26 24
"83" "Caucasian" 73 27 24
"84" "Hispanic" 73 27 25
"85" "Caucasian" 73 26 27
"86" "Hispanic" 74 23 25
"87" "Hispanic" 74 26 25
"88" "Caucasian" 74 26 27
"89" "Caucasian" 74 26 27
"90" "Caucasian" 74 29 28
"91" "Hispanic" 75 24 23
"92" "Caucasian" 75 27 24
"93" "Caucasian" 75 28 28
"94" "Hispanic" 76 25 25
"95" "Caucasian" 78 28 27
"96" "Caucasian" 78 29 29
"97" "Caucasian" 79 25 22
"98" "Hispanic" 79 27 27
"99" "Caucasian" 80 21 24
"100" "Caucasian" 81 27 27
"101" "Caucasian" 81 28 28
"102" "Caucasian" 82 24 26
"103" "Caucasian" 82 25 27
"104" "Caucasian" 83 27 27
"105" "Caucasian" 85 28 28
