id,female,lb_wght,anti_k1,math,grade,occ,age,men,spring,anti,nb_wght
201,1,0,0,38,1,2,111,0,1,0,1
201,1,0,0,55,3,3,135,1,1,0,1
303,1,0,1,26,0,2,121,0,1,2,1
303,1,0,1,33,3,3,145,0,1,2,1
2702,0,0,0,56,0,2,100,.,1,0,1
2702,0,0,0,58,2,3,125,.,1,2,1
2702,0,0,0,80,6,4,173,.,1,2,1
4303,1,0,0,41,1,2,115,0,0,1,1
4303,1,0,0,58,2,3,135,0,1,2,1
5002,0,0,4,46,2,2,117,.,1,4,1
5002,0,0,4,54,4,3,145,.,0,1,1
5002,0,0,4,66,6,4,167,.,1,5,1
5005,1,0,0,35,0,2,93,0,0,2,1
5005,1,0,0,50,2,3,115,0,1,2,1
5005,1,0,0,60,4,4,139,0,1,1,1
5005,1,0,0,59,6,5,163,1,1,3,1
5701,0,0,2,62,1,2,111,.,0,2,1
5701,0,0,2,61,2,3,134,.,0,1,1
6102,0,0,0,55,2,2,120,.,0,1,1
6102,0,0,0,67,3,3,141,.,1,0,1
6102,0,0,0,81,5,4,164,.,1,0,1
6801,1,0,0,54,1,2,106,0,1,0,1
6801,1,0,0,62,3,3,130,0,1,0,1
6801,1,0,0,66,5,4,153,0,1,0,1
6802,0,0,0,55,1,2,107,.,1,0,1
6802,0,0,0,66,3,3,130,.,1,1,1
6802,0,0,0,68,5,4,153,.,1,0,1
6803,1,0,0,57,1,2,113,0,1,0,1
6803,1,0,0,70,3,3,136,0,1,1,1
9603,0,0,0,35,0,2,97,.,1,1,1
9603,0,0,0,59,2,3,120,.,1,0,1
12401,1,0,0,34,1,2,97,0,0,1,1
12401,1,0,0,50,2,3,117,0,1,1,1
12801,0,0,2,48,2,3,117,.,0,2,1
13702,1,0,0,54,1,2,109,0,1,0,1
13702,1,0,0,64,4,3,133,0,1,0,1
13702,1,0,0,63,5,4,157,0,1,0,1
13801,0,0,1,66,1,2,112,.,1,1,1
13801,0,0,1,65,3,3,135,.,1,0,1
13803,1,0,0,58,1,2,106,0,1,0,1
13803,1,0,0,60,3,3,130,0,1,0,1
17201,1,0,0,46,1,2,108,0,1,1,1
17201,1,0,0,65,3,3,132,0,1,1,1
18601,0,0,1,27,2,3,113,.,0,.,1
22104,1,0,0,24,0,2,108,0,1,0,1
22104,1,0,0,41,2,3,132,0,1,2,1
22901,0,0,0,32,1,2,101,.,0,0,1
22901,0,0,0,49,3,3,147,.,1,0,1
23602,0,0,2,57,2,3,117,.,0,1,1
23701,1,0,3,48,2,2,111,0,0,4,1
23701,1,0,3,49,4,3,136,0,0,5,1
24402,1,0,5,44,2,2,109,0,0,7,1
24402,1,0,5,59,3,3,132,1,0,4,1
26201,1,0,1,39,0,2,88,0,0,2,1
26201,1,0,1,68,3,3,131,0,1,1,1
26201,1,0,1,71,6,4,159,0,0,1,1
28503,0,0,1,14,0,2,89,.,0,0,1
28503,0,0,1,48,2,3,133,.,1,1,1
29201,0,0,1,52,0,2,101,.,1,2,1
29201,0,0,1,67,2,3,125,.,1,2,1
29201,0,0,1,65,5,4,152,.,0,2,1
29201,0,0,1,75,6,5,173,.,1,2,1
29202,0,0,0,44,0,2,104,.,1,0,1
29202,0,0,0,64,3,3,132,.,0,0,1
29202,0,0,0,73,4,4,153,.,1,0,1
34401,0,0,1,52,0,2,100,.,1,6,1
34401,0,0,1,67,2,3,124,.,1,4,1
34401,0,0,1,79,6,4,174,.,0,4,1
35401,0,0,1,44,1,2,109,.,1,0,1
35401,0,0,1,64,3,3,133,.,1,0,1
35401,0,0,1,69,5,4,157,.,1,0,1
35402,1,0,0,53,1,2,106,0,1,0,1
35402,1,0,0,45,3,3,129,0,1,0,1
35402,1,0,0,61,5,4,153,1,1,3,1
36901,1,1,1,62,1,2,105,0,1,1,0
36901,1,1,1,65,3,3,130,0,1,1,0
36901,1,1,1,74,5,4,154,1,1,3,0
36902,0,0,1,48,0,2,99,.,1,0,1
36902,0,0,1,62,2,3,122,.,1,0,1
36902,0,0,1,65,4,4,146,.,1,1,1
36902,0,0,1,72,6,5,169,.,1,0,1
37403,0,0,0,37,0,2,97,.,0,0,1
37403,0,0,0,45,4,3,146,.,0,0,1
38202,1,0,1,27,0,2,89,0,0,1,1
38202,1,0,1,38,1,3,113,0,0,0,1
38802,0,0,0,38,2,3,120,.,1,3,1
38802,0,0,0,43,4,4,145,.,1,0,1
40501,0,0,2,42,1,2,103,.,1,1,1
40501,0,0,2,52,4,3,127,.,1,2,1
40702,0,0,0,46,0,2,93,.,1,0,1
40702,0,0,0,52,2,3,117,.,1,0,1
40702,0,0,0,60,4,4,140,.,1,0,1
42504,0,0,3,47,2,2,126,.,1,4,1
42504,0,0,3,64,4,3,150,.,1,4,1
42505,1,0,0,50,1,2,108,0,1,1,1
42505,1,0,0,60,3,3,131,0,1,1,1
42505,1,0,0,53,5,4,154,0,1,0,1
43103,1,0,3,62,4,3,147,1,1,3,1
43103,1,0,3,66,6,4,170,1,1,2,1
45201,0,0,3,40,0,2,97,.,1,1,1
45201,0,0,3,63,2,3,121,.,1,3,1
45201,0,0,3,64,4,4,145,.,1,3,1
45903,0,0,2,65,1,2,109,.,1,1,1
45903,0,0,2,66,4,3,132,.,1,4,1
46201,0,0,0,51,1,2,109,.,1,0,1
46201,0,0,0,66,3,3,134,.,1,0,1
46201,0,0,0,79,5,4,157,.,1,0,1
47201,0,0,3,58,0,2,100,.,1,0,1
47201,0,0,3,63,2,3,123,.,1,0,1
47402,0,0,2,45,2,2,112,.,0,2,1
47402,0,0,2,54,4,3,157,.,1,6,1
47601,1,1,1,32,0,2,92,0,1,3,0
47601,1,1,1,48,2,3,115,0,1,1,0
47601,1,1,1,58,6,4,164,1,1,2,0
48502,0,0,0,29,0,2,100,.,1,1,1
48502,0,0,0,58,4,3,149,.,1,0,1
49501,0,0,3,35,0,2,97,.,1,3,1
49501,0,0,3,50,2,3,120,.,1,2,1
53601,1,0,2,38,1,2,105,0,0,4,1
53601,1,0,2,45,4,3,149,1,1,5,1
55201,0,0,3,65,3,3,136,.,1,2,1
55201,0,0,3,69,5,4,160,.,1,3,1
55801,1,0,1,43,2,2,111,0,1,1,1
55801,1,0,1,52,4,3,135,0,1,3,1
55801,1,0,1,63,5,4,159,1,1,2,1
56301,1,0,3,24,1,2,104,0,0,2,1
56301,1,0,3,45,3,3,129,0,0,1,1
56301,1,0,3,55,5,4,152,0,0,2,1
56302,1,0,2,37,1,2,103,0,0,1,1
56302,1,0,2,46,3,3,127,0,0,2,1
57604,0,0,4,41,0,2,97,.,1,3,1
57604,0,0,4,67,2,3,120,.,1,4,1
58503,1,0,1,25,1,3,115,0,0,3,1
58503,1,0,1,50,4,4,160,1,1,3,1
62102,0,0,2,47,1,2,104,.,1,3,1
62102,0,0,2,70,4,3,153,.,1,2,1
62103,1,1,2,14,0,2,98,0,1,1,0
62103,1,1,2,32,1,3,121,0,1,4,0
62103,1,1,2,45,3,4,145,1,1,4,0
62202,0,0,2,60,1,2,114,.,1,1,1
62202,0,0,2,66,3,3,136,.,1,0,1
62703,0,0,2,32,0,2,100,.,1,3,1
