School,Student,Treat,Gender,Pretest,MeanPretest,TXG,Index1,Response,D1,D2,TreatCAT,Gendercat,DV
1,1,-0.5,-0.5,48.34437942504883,45.62666702270508,0.25,1,29.3637752532959,1,0,0,-0.5,Y1
1,1,-0.5,-0.5,48.34437942504883,45.62666702270508,0.25,2,47.35104751586914,0,1,0,-0.5,Y2
1,2,-0.5,0.5,52.14841079711914,45.62666702270508,-0.25,1,52.20915985107422,1,0,0,0.5,Y1
1,2,-0.5,0.5,52.14841079711914,45.62666702270508,-0.25,2,49.772117614746094,0,1,0,0.5,Y2
1,3,-0.5,-0.5,40.560794830322266,45.62666702270508,0.25,1,42.21330261230469,1,0,0,-0.5,Y1
1,3,-0.5,-0.5,40.560794830322266,45.62666702270508,0.25,2,36.21236038208008,0,1,0,-0.5,Y2
1,4,-0.5,0.5,63.118927001953125,45.62666702270508,-0.25,1,46.693180084228516,1,0,0,0.5,Y1
1,4,-0.5,0.5,63.118927001953125,45.62666702270508,-0.25,2,63.724334716796875,0,1,0,0.5,Y2
1,5,-0.5,-0.5,66.797943115234375,45.62666702270508,0.25,1,48.707603454589844,1,0,0,-0.5,Y1
1,5,-0.5,-0.5,66.797943115234375,45.62666702270508,0.25,2,48.04736328125,0,1,0,-0.5,Y2
1,6,-0.5,0.5,19.424819946289063,45.62666702270508,-0.25,1,23.405065536499023,1,0,0,0.5,Y1
1,6,-0.5,0.5,19.424819946289063,45.62666702270508,-0.25,2,11.079479217529297,0,1,0,0.5,Y2
1,7,-0.5,-0.5,32.82804870605469,45.62666702270508,0.25,1,39.592430114746094,1,0,0,-0.5,Y1
1,7,-0.5,-0.5,32.82804870605469,45.62666702270508,0.25,2,40.12430953979492,0,1,0,-0.5,Y2
1,8,-0.5,0.5,44.92055130004883,45.62666702270508,-0.25,1,56.995521545410156,1,0,0,0.5,Y1
1,8,-0.5,0.5,44.92055130004883,45.62666702270508,-0.25,2,49.63878631591797,0,1,0,0.5,Y2
1,9,-0.5,-0.5,44.58684158325195,45.62666702270508,0.25,1,44.34722900390625,1,0,0,-0.5,Y1
1,9,-0.5,-0.5,44.58684158325195,45.62666702270508,0.25,2,42.88926696777344,0,1,0,-0.5,Y2
1,10,-0.5,0.5,44.99365997314453,45.62666702270508,-0.25,1,52.19893264770508,1,0,0,0.5,Y1
1,10,-0.5,0.5,44.99365997314453,45.62666702270508,-0.25,2,33.37183380126953,0,1,0,0.5,Y2
1,11,-0.5,-0.5,49.54759979248047,45.62666702270508,0.25,1,35.86652374267578,1,0,0,-0.5,Y1
1,11,-0.5,-0.5,49.54759979248047,45.62666702270508,0.25,2,38.111907958984375,0,1,0,-0.5,Y2
1,12,-0.5,0.5,46.74159240722656,45.62666702270508,-0.25,1,41.63774490356445,1,0,0,0.5,Y1
1,12,-0.5,0.5,46.74159240722656,45.62666702270508,-0.25,2,36.9931755065918,0,1,0,0.5,Y2
1,13,-0.5,-0.5,57.480411529541016,45.62666702270508,0.25,1,49.56503677368164,1,0,0,-0.5,Y1
1,13,-0.5,-0.5,57.480411529541016,45.62666702270508,0.25,2,64.95549011230469,0,1,0,-0.5,Y2
1,14,-0.5,0.5,34.832881927490234,45.62666702270508,-0.25,1,34.400840759277344,1,0,0,0.5,Y1
1,14,-0.5,0.5,34.832881927490234,45.62666702270508,-0.25,2,30.83763313293457,0,1,0,0.5,Y2
1,15,-0.5,-0.5,46.935302734375,45.62666702270508,0.25,1,56.2232551574707,1,0,0,-0.5,Y1
1,15,-0.5,-0.5,46.935302734375,45.62666702270508,0.25,2,53.293209075927734,0,1,0,-0.5,Y2
1,16,-0.5,0.5,32.042545318603516,45.62666702270508,-0.25,1,56.21030044555664,1,0,0,0.5,Y1
1,16,-0.5,0.5,32.042545318603516,45.62666702270508,-0.25,2,44.709632873535156,0,1,0,0.5,Y2
1,17,-0.5,-0.5,49.24060821533203,45.62666702270508,0.25,1,51.82260513305664,1,0,0,-0.5,Y1
1,17,-0.5,-0.5,49.24060821533203,45.62666702270508,0.25,2,34.621036529541016,0,1,0,-0.5,Y2
1,18,-0.5,0.5,36.31364440917969,45.62666702270508,-0.25,1,39.657958984375,1,0,0,0.5,Y1
1,18,-0.5,0.5,36.31364440917969,45.62666702270508,-0.25,2,50.48780059814453,0,1,0,0.5,Y2
1,19,-0.5,-0.5,50.15132141113281,45.62666702270508,0.25,1,56.20637512207031,1,0,0,-0.5,Y1
1,19,-0.5,-0.5,50.15132141113281,45.62666702270508,0.25,2,42.30122756958008,0,1,0,-0.5,Y2
1,20,-0.5,0.5,51.52305221557617,45.62666702270508,-0.25,1,49.784122467041016,1,0,0,0.5,Y1
1,20,-0.5,0.5,51.52305221557617,45.62666702270508,-0.25,2,52.145263671875,0,1,0,0.5,Y2
2,21,-0.5,-0.5,67.61392974853516,53.21646499633789,0.25,1,50.27183151245117,1,0,0,-0.5,Y1
2,21,-0.5,-0.5,67.61392974853516,53.21646499633789,0.25,2,54.68034744262695,0,1,0,-0.5,Y2
2,22,-0.5,0.5,69.468963623046875,53.21646499633789,-0.25,1,36.34925079345703,1,0,0,0.5,Y1
2,22,-0.5,0.5,69.468963623046875,53.21646499633789,-0.25,2,47.805843353271484,0,1,0,0.5,Y2
2,23,-0.5,-0.5,49.59897994995117,53.21646499633789,0.25,1,62.64925003051758,1,0,0,-0.5,Y1
2,23,-0.5,-0.5,49.59897994995117,53.21646499633789,0.25,2,60.798118591308594,0,1,0,-0.5,Y2
2,24,-0.5,0.5,57.405521392822266,53.21646499633789,-0.25,1,47.35911178588867,1,0,0,0.5,Y1
2,24,-0.5,0.5,57.405521392822266,53.21646499633789,-0.25,2,55.44409942626953,0,1,0,0.5,Y2
2,25,-0.5,-0.5,60.425628662109375,53.21646499633789,0.25,1,43.399925231933594,1,0,0,-0.5,Y1
2,25,-0.5,-0.5,60.425628662109375,53.21646499633789,0.25,2,68.765106201171875,0,1,0,-0.5,Y2
2,26,-0.5,0.5,68.33880615234375,53.21646499633789,-0.25,1,57.74333572387695,1,0,0,0.5,Y1
2,26,-0.5,0.5,68.33880615234375,53.21646499633789,-0.25,2,69.37653350830078,0,1,0,0.5,Y2
2,27,-0.5,-0.5,44.06214904785156,53.21646499633789,0.25,1,43.76300048828125,1,0,0,-0.5,Y1
2,27,-0.5,-0.5,44.06214904785156,53.21646499633789,0.25,2,36.34528350830078,0,1,0,-0.5,Y2
2,28,-0.5,0.5,48.403419494628906,53.21646499633789,-0.25,1,45.396324157714844,1,0,0,0.5,Y1
2,28,-0.5,0.5,48.403419494628906,53.21646499633789,-0.25,2,55.11009216308594,0,1,0,0.5,Y2
2,29,-0.5,-0.5,61.3177490234375,53.21646499633789,0.25,1,58.50152587890625,1,0,0,-0.5,Y1
2,29,-0.5,-0.5,61.3177490234375,53.21646499633789,0.25,2,62.270263671875,0,1,0,-0.5,Y2
2,30,-0.5,0.5,50.71221923828125,53.21646499633789,-0.25,1,52.59128189086914,1,0,0,0.5,Y1
2,30,-0.5,0.5,50.71221923828125,53.21646499633789,-0.25,2,49.52700424194336,0,1,0,0.5,Y2
2,31,-0.5,-0.5,55.53390884399414,53.21646499633789,0.25,1,49.05389404296875,1,0,0,-0.5,Y1
2,31,-0.5,-0.5,55.53390884399414,53.21646499633789,0.25,2,45.893836975097656,0,1,0,-0.5,Y2
2,32,-0.5,0.5,48.337894439697266,53.21646499633789,-0.25,1,52.601043701171875,1,0,0,0.5,Y1
2,32,-0.5,0.5,48.337894439697266,53.21646499633789,-0.25,2,45.85255432128906,0,1,0,0.5,Y2
2,33,-0.5,-0.5,60.55376434326172,53.21646499633789,0.25,1,58.392547607421875,1,0,0,-0.5,Y1
2,33,-0.5,-0.5,60.55376434326172,53.21646499633789,0.25,2,53.88581085205078,0,1,0,-0.5,Y2
2,34,-0.5,0.5,38.848060607910156,53.21646499633789,-0.25,1,60.56547164916992,1,0,0,0.5,Y1
2,34,-0.5,0.5,38.848060607910156,53.21646499633789,-0.25,2,41.753108978271484,0,1,0,0.5,Y2
2,35,-0.5,-0.5,42.6655387878418,53.21646499633789,0.25,1,50.22237777709961,1,0,0,-0.5,Y1
2,35,-0.5,-0.5,42.6655387878418,53.21646499633789,0.25,2,63.02900695800781,0,1,0,-0.5,Y2
2,36,-0.5,0.5,39.12141418457031,53.21646499633789,-0.25,1,37.735347747802734,1,0,0,0.5,Y1
2,36,-0.5,0.5,39.12141418457031,53.21646499633789,-0.25,2,30.06668472290039,0,1,0,0.5,Y2
2,37,-0.5,-0.5,63.78190612792969,53.21646499633789,0.25,1,37.81880187988281,1,0,0,-0.5,Y1
2,37,-0.5,-0.5,63.78190612792969,53.21646499633789,0.25,2,38.4858283996582,0,1,0,-0.5,Y2
2,38,-0.5,0.5,50.79039764404297,53.21646499633789,-0.25,1,57.06495666503906,1,0,0,0.5,Y1
2,38,-0.5,0.5,50.79039764404297,53.21646499633789,-0.25,2,56.54959487915039,0,1,0,0.5,Y2
2,39,-0.5,-0.5,33.33715057373047,53.21646499633789,0.25,1,47.46722412109375,1,0,0,-0.5,Y1
2,39,-0.5,-0.5,33.33715057373047,53.21646499633789,0.25,2,27.040733337402344,0,1,0,-0.5,Y2
2,40,-0.5,0.5,54.011871337890625,53.21646499633789,-0.25,1,36.57255935668945,1,0,0,0.5,Y1
2,40,-0.5,0.5,54.011871337890625,53.21646499633789,-0.25,2,39.59326171875,0,1,0,0.5,Y2
3,41,-0.5,-0.5,44.977638244628906,40.991798400878906,0.25,1,40.806884765625,1,0,0,-0.5,Y1
3,41,-0.5,-0.5,44.977638244628906,40.991798400878906,0.25,2,34.21636962890625,0,1,0,-0.5,Y2
3,42,-0.5,0.5,19.035120010375977,40.991798400878906,-0.25,1,38.80351257324219,1,0,0,0.5,Y1
3,42,-0.5,0.5,19.035120010375977,40.991798400878906,-0.25,2,26.4866943359375,0,1,0,0.5,Y2
3,43,-0.5,-0.5,22.31935691833496,40.991798400878906,0.25,1,43.739593505859375,1,0,0,-0.5,Y1
3,43,-0.5,-0.5,22.31935691833496,40.991798400878906,0.25,2,16.078201293945313,0,1,0,-0.5,Y2
3,44,-0.5,0.5,41.77142333984375,40.991798400878906,-0.25,1,64.42060089111328,1,0,0,0.5,Y1
3,44,-0.5,0.5,41.77142333984375,40.991798400878906,-0.25,2,38.86478805541992,0,1,0,0.5,Y2
3,45,-0.5,-0.5,56.44734573364258,40.991798400878906,0.25,1,52.71805191040039,1,0,0,-0.5,Y1
3,45,-0.5,-0.5,56.44734573364258,40.991798400878906,0.25,2,35.924339294433594,0,1,0,-0.5,Y2
3,46,-0.5,0.5,40.09387969970703,40.991798400878906,-0.25,1,48.1091423034668,1,0,0,0.5,Y1
3,46,-0.5,0.5,40.09387969970703,40.991798400878906,-0.25,2,37.18944549560547,0,1,0,0.5,Y2
3,47,-0.5,-0.5,39.08205032348633,40.991798400878906,0.25,1,37.970787048339844,1,0,0,-0.5,Y1
3,47,-0.5,-0.5,39.08205032348633,40.991798400878906,0.25,2,41.5736083984375,0,1,0,-0.5,Y2
3,48,-0.5,0.5,47.22377395629883,40.991798400878906,-0.25,1,30.870079040527344,1,0,0,0.5,Y1
3,48,-0.5,0.5,47.22377395629883,40.991798400878906,-0.25,2,38.4736442565918,0,1,0,0.5,Y2
3,49,-0.5,-0.5,43.354393005371094,40.991798400878906,0.25,1,38.396602630615234,1,0,0,-0.5,Y1
3,49,-0.5,-0.5,43.354393005371094,40.991798400878906,0.25,2,30.823572158813477,0,1,0,-0.5,Y2
3,50,-0.5,0.5,31.525249481201172,40.991798400878906,-0.25,1,32.07647705078125,1,0,0,0.5,Y1
3,50,-0.5,0.5,31.525249481201172,40.991798400878906,-0.25,2,20.545238494873047,0,1,0,0.5,Y2
3,51,-0.5,-0.5,37.445594787597656,40.991798400878906,0.25,1,29.58500862121582,1,0,0,-0.5,Y1
3,51,-0.5,-0.5,37.445594787597656,40.991798400878906,0.25,2,30.221813201904297,0,1,0,-0.5,Y2
3,52,-0.5,0.5,47.407649993896484,40.991798400878906,-0.25,1,53.86155319213867,1,0,0,0.5,Y1
3,52,-0.5,0.5,47.407649993896484,40.991798400878906,-0.25,2,43.65047073364258,0,1,0,0.5,Y2
3,53,-0.5,-0.5,44.55373001098633,40.991798400878906,0.25,1,33.40901565551758,1,0,0,-0.5,Y1
3,53,-0.5,-0.5,44.55373001098633,40.991798400878906,0.25,2,44.15721130371094,0,1,0,-0.5,Y2
3,54,-0.5,0.5,42.62281799316406,40.991798400878906,-0.25,1,35.000572204589844,1,0,0,0.5,Y1
3,54,-0.5,0.5,42.62281799316406,40.991798400878906,-0.25,2,44.419036865234375,0,1,0,0.5,Y2
3,55,-0.5,-0.5,38.09272003173828,40.991798400878906,0.25,1,33.83494186401367,1,0,0,-0.5,Y1
3,55,-0.5,-0.5,38.09272003173828,40.991798400878906,0.25,2,30.423076629638672,0,1,0,-0.5,Y2
3,56,-0.5,0.5,54.82301712036133,40.991798400878906,-0.25,1,42.05718231201172,1,0,0,0.5,Y1
3,56,-0.5,0.5,54.82301712036133,40.991798400878906,-0.25,2,50.22577667236328,0,1,0,0.5,Y2
3,57,-0.5,-0.5,39.0910530090332,40.991798400878906,0.25,1,31.578048706054688,1,0,0,-0.5,Y1
3,57,-0.5,-0.5,39.0910530090332,40.991798400878906,0.25,2,43.2259407043457,0,1,0,-0.5,Y2
3,58,-0.5,0.5,39.32227325439453,40.991798400878906,-0.25,1,47.37291717529297,1,0,0,0.5,Y1
3,58,-0.5,0.5,39.32227325439453,40.991798400878906,-0.25,2,46.811336517333984,0,1,0,0.5,Y2
3,59,-0.5,-0.5,60.154136657714844,40.991798400878906,0.25,1,37.843666076660156,1,0,0,-0.5,Y1
3,59,-0.5,-0.5,60.154136657714844,40.991798400878906,0.25,2,40.283451080322266,0,1,0,-0.5,Y2
3,60,-0.5,0.5,30.492712020874023,40.991798400878906,-0.25,1,51.14052200317383,1,0,0,0.5,Y1
3,60,-0.5,0.5,30.492712020874023,40.991798400878906,-0.25,2,36.71147155761719,0,1,0,0.5,Y2
4,61,-0.5,-0.5,48.82963180541992,45.95824432373047,0.25,1,33.816505432128906,1,0,0,-0.5,Y1
4,61,-0.5,-0.5,48.82963180541992,45.95824432373047,0.25,2,45.18076705932617,0,1,0,-0.5,Y2
4,62,-0.5,0.5,40.660499572753906,45.95824432373047,-0.25,1,61.077754974365234,1,0,0,0.5,Y1
4,62,-0.5,0.5,40.660499572753906,45.95824432373047,-0.25,2,37.450172424316406,0,1,0,0.5,Y2
4,63,-0.5,-0.5,49.16511154174805,45.95824432373047,0.25,1,48.425838470458984,1,0,0,-0.5,Y1
4,63,-0.5,-0.5,49.16511154174805,45.95824432373047,0.25,2,46.91922378540039,0,1,0,-0.5,Y2
4,64,-0.5,0.5,45.160072326660156,45.95824432373047,-0.25,1,50.196964263916016,1,0,0,0.5,Y1
4,64,-0.5,0.5,45.160072326660156,45.95824432373047,-0.25,2,44.73844909667969,0,1,0,0.5,Y2
4,65,-0.5,-0.5,50.6796989440918,45.95824432373047,0.25,1,59.218048095703125,1,0,0,-0.5,Y1
4,65,-0.5,-0.5,50.6796989440918,45.95824432373047,0.25,2,53.08955383300781,0,1,0,-0.5,Y2
4,66,-0.5,0.5,29.09055519104004,45.95824432373047,-0.25,1,26.407798767089844,1,0,0,0.5,Y1
4,66,-0.5,0.5,29.09055519104004,45.95824432373047,-0.25,2,27.50505828857422,0,1,0,0.5,Y2
4,67,-0.5,-0.5,56.28862762451172,45.95824432373047,0.25,1,38.8792724609375,1,0,0,-0.5,Y1
4,67,-0.5,-0.5,56.28862762451172,45.95824432373047,0.25,2,44.54936981201172,0,1,0,-0.5,Y2
4,68,-0.5,0.5,45.52465057373047,45.95824432373047,-0.25,1,41.11742401123047,1,0,0,0.5,Y1
4,68,-0.5,0.5,45.52465057373047,45.95824432373047,-0.25,2,37.89311981201172,0,1,0,0.5,Y2
4,69,-0.5,-0.5,56.92414855957031,45.95824432373047,0.25,1,45.50918197631836,1,0,0,-0.5,Y1
4,69,-0.5,-0.5,56.92414855957031,45.95824432373047,0.25,2,54.399105072021484,0,1,0,-0.5,Y2
4,70,-0.5,0.5,48.14083480834961,45.95824432373047,-0.25,1,47.418521881103516,1,0,0,0.5,Y1
4,70,-0.5,0.5,48.14083480834961,45.95824432373047,-0.25,2,33.81341552734375,0,1,0,0.5,Y2
4,71,-0.5,-0.5,46.48665237426758,45.95824432373047,0.25,1,51.54850769042969,1,0,0,-0.5,Y1
4,71,-0.5,-0.5,46.48665237426758,45.95824432373047,0.25,2,56.833744049072266,0,1,0,-0.5,Y2
4,72,-0.5,0.5,36.547882080078125,45.95824432373047,-0.25,1,48.615203857421875,1,0,0,0.5,Y1
4,72,-0.5,0.5,36.547882080078125,45.95824432373047,-0.25,2,24.02938461303711,0,1,0,0.5,Y2
4,73,-0.5,-0.5,46.234153747558594,45.95824432373047,0.25,1,53.546627044677734,1,0,0,-0.5,Y1
4,73,-0.5,-0.5,46.234153747558594,45.95824432373047,0.25,2,36.2422981262207,0,1,0,-0.5,Y2
4,74,-0.5,0.5,43.98073959350586,45.95824432373047,-0.25,1,48.15488815307617,1,0,0,0.5,Y1
4,74,-0.5,0.5,43.98073959350586,45.95824432373047,-0.25,2,38.884971618652344,0,1,0,0.5,Y2
4,75,-0.5,-0.5,39.49242401123047,45.95824432373047,0.25,1,39.606693267822266,1,0,0,-0.5,Y1
4,75,-0.5,-0.5,39.49242401123047,45.95824432373047,0.25,2,32.4594612121582,0,1,0,-0.5,Y2
4,76,-0.5,0.5,53.384422302246094,45.95824432373047,-0.25,1,32.877113342285156,1,0,0,0.5,Y1
4,76,-0.5,0.5,53.384422302246094,45.95824432373047,-0.25,2,44.383628845214844,0,1,0,0.5,Y2
